variable,year,region,value,clim,anomaly
tmax_mean,2011,Orinoquia,29.673268933277267,30.7059995743421,-1.032730641064834
tmax_mean,2011,Amazonia,29.022349408182297,29.235361397029138,-0.2130119888468407
tmax_mean,2011,Colombia,27.373461191922754,28.324168714931773,-0.9507075230090187
tmax_mean,2012,Caribe,31.326271141218257,31.17120337851442,0.15506776270383682
tmax_mean,2012,Andina,23.787336683125012,24.1532379563675,-0.3659012732424891
tmax_mean,2012,Pacifica,25.036289278988228,24.951161462046255,0.08512781694197358
tmax_mean,2012,Orinoquia,28.85049721091197,30.7059995743421,-1.85550236343013
tmax_mean,2012,Amazonia,27.81161312615508,29.235361397029138,-1.4237482708740572
tmax_mean,2012,Colombia,27.35237186921202,28.324168714931773,-0.9717968457197514
tmax_mean,2013,Caribe,30.083911126504102,31.17120337851442,-1.087292252010318
tmax_mean,2013,Andina,24.16778723324453,24.1532379563675,0.014549276877026784
tmax_mean,2013,Pacifica,24.82566727732189,24.951161462046255,-0.12549418472436358
tmax_mean,2013,Orinoquia,30.213724738209862,30.7059995743421,-0.4922748361322391
tmax_mean,2013,Amazonia,29.1684803455165,29.235361397029138,-0.06688105151263812
